"측정일자","권역명","측정소명","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"20190515","도심권","중구","48","32","0.02","0.035","0.5","0.004"
"20190515","도심권","종로구","45","32","0.018","0.034","0.5","0.004"
"20190515","도심권","용산구","46","40","0.005","0.047","0.5","0.003"
"20190515","서북권","은평구","47","36","0.02","0.029","0.4","0.004"
"20190515","서북권","서대문구","49","40","0.016","0.03","0.7","0.005"
"20190515","서북권","마포구","62","49","0.019","0.024","0.4","0.004"
"20190515","동북권","광진구","60","47","0.006","0.043","0.8","0.005"
"20190515","동북권","성동구","62","46","0.007","0.05","0.6","0.004"
"20190515","동북권","중랑구","49","43","0.013","0.029","0.4","0.006"
"20190515","동북권","동대문구","46","37","0.018","0.033","0.4","0.005"
"20190515","동북권","성북구","46","39","0.017","0.031","0.7","0.004"
"20190515","동북권","도봉구","44","36","0.023","0.02","0.4","0.005"
"20190515","동북권","강북구","53","40","0.027","0.016","0.4","0.004"
"20190515","동북권","노원구","53","44","0.016","0.032","0.4","0.005"
"20190515","서남권","강서구","59","38","0.016","0.036","0.5","0.006"
"20190515","서남권","구로구","70","57","0.009","0.035","0.4","0.004"
"20190515","서남권","영등포구","69","56","0.007","0.04","0.5","0.003"
"20190515","서남권","동작구","54","43","0.016","0.04","0.5","0.005"
"20190515","서남권","관악구","71","54","0.013","0.041","0.4","0.004"
"20190515","서남권","금천구","50","37","0.012","0.039","0.5","0.005"
"20190515","서남권","양천구","64","41","0.01","0.042","0.5","0.005"
"20190515","동남권","강남구","57","41","0.004","0.044","0.4","0.006"
"20190515","동남권","서초구","68","52","0.009","0.042","0.4","0.003"
"20190515","동남권","송파구","54","46","0.004","0.053","0.6","0.005"
"20190515","동남권","강동구","57","49","0.006","0.046","0.5","0.005"
"20190514","도심권","중구","35","25","0.05","0.032","0.4","0.005"
"20190514","도심권","종로구","36","25","0.043","0.031","0.5","0.005"
"20190514","도심권","용산구","35","29","0.04","0.033","0.4","0.005"
"20190514","서북권","은평구","43","29","0.048","0.026","0.4","0.006"
"20190514","서북권","서대문구","46","31","0.045","0.024","0.7","0.005"
"20190514","서북권","마포구","51","36","0.041","0.024","0.4","0.004"
"20190514","동북권","광진구","46","36","0.037","0.028","0.7","0.006"
"20190514","동북권","성동구","46","32","0.046","0.033","0.4","0.005"
"20190514","동북권","중랑구","37","30","0.045","0.019","0.3","0.007"
"20190514","동북권","동대문구","34","26","0.049","0.025","0.4","0.005"
"20190514","동북권","성북구","41","33","0.036","0.034","0.6","0.005"
"20190514","동북권","도봉구","38","25","0.048","0.018","0.4","0.006"
"20190514","동북권","강북구","42","26","0.047","0.017","0.4","0.004"
"20190514","동북권","노원구","40","29","0.04","0.027","0.4","0.005"
"20190514","서남권","강서구","45","28","0.048","0.032","0.4","0.007"
"20190514","서남권","구로구","55","44","0.037","0.025","0.3","0.004"
"20190514","서남권","영등포구","52","39","0.031","0.028","0.4","0.005"
"20190514","서남권","동작구","47","33","0.041","0.026","0.4","0.006"
"20190514","서남권","관악구","55","40","0.04","0.027","0.3","0.003"
"20190514","서남권","금천구","42","31","0.035","0.03","0.4","0.005"
"20190514","서남권","양천구","47","29","0.038","0.03","0.4","0.006"
"20190514","동남권","강남구","39","30","0.032","0.026","0.3","0.007"
"20190514","동남권","서초구","62","45","0.039","0.029","0.3","0.004"
"20190514","동남권","송파구","47","39","0.038","0.037","0.4","0.005"
"20190514","동남권","강동구","42","33","0.034","0.03","0.4","0.006"
"20190513","도심권","중구","47","29","0.037","0.052","0.6","0.005"
"20190513","도심권","종로구","48","29","0.032","0.051","0.7","0.005"
"20190513","도심권","용산구","45","35","0.03","0.053","0.6","0.005"
"20190513","서북권","은평구","58","36","0.044","0.037","0.5","0.006"
"20190513","서북권","서대문구","60","40","0.038","0.039","0.9","0.006"
"20190513","서북권","마포구","64","41","0.03","0.037","0.5","0.004"
"20190513","동북권","광진구","67","45","0.029","0.041","0.9","0.005"
"20190513","동북권","성동구","63","39","0.039","0.047","0.5","0.005"
"20190513","동북권","중랑구","49","34","0.039","0.03","0.4","0.007"
"20190513","동북권","동대문구","50","33","0.036","0.045","0.6","0.005"
"20190513","동북권","성북구","59","39","0.031","0.048","0.8","0.005"
"20190513","동북권","도봉구","64","43","0.042","0.026","0.6","0.006"
"20190513","동북권","강북구","62","36","0.042","0.029","0.5","0.004"
"20190513","동북권","노원구","56","37","0.036","0.035","0.6","0.005"
"20190513","서남권","강서구","53","29","0.044","0.043","0.5","0.007"
"20190513","서남권","구로구","64","40","0.035","0.037","0.4","0.004"
"20190513","서남권","영등포구","66","44","0.028","0.04","0.5","0.005"
"20190513","서남권","동작구","55","33","0.039","0.038","0.5","0.005"
"20190513","서남권","관악구","62","39","0.038","0.042","0.5","0.004"
"20190513","서남권","금천구","46","29","0.035","0.041","0.5","0.005"
"20190513","서남권","양천구","56","30","0.035","0.042","0.6","0.006"
"20190513","동남권","강남구","48","34","0.028","0.037","0.4","0.007"
"20190513","동남권","서초구","64","43","0.037","0.039","0.4","0.004"
"20190513","동남권","송파구","54","39","0.036","0.045","0.5","0.005"
"20190513","동남권","강동구","56","38","0.031","0.039","0.5","0.005"
"20190512","도심권","중구","47","29","0.059","0.04","0.6","0.005"
"20190512","도심권","종로구","47","29","0.051","0.036","0.6","0.005"
"20190512","도심권","용산구","44","34","0.049","0.041","0.6","0.004"
"20190512","서북권","은평구","63","39","0.059","0.029","0.5","0.005"
"20190512","서북권","서대문구","65","42","0.057","0.029","0.9","0.005"
"20190512","서북권","마포구","67","43","0.044","0.032","0.5","0.004"
"20190512","동북권","광진구","60","42","0.043","0.034","0.8","0.005"
"20190512","동북권","성동구","56","35","0.06","0.039","0.5","0.004"
"20190512","동북권","중랑구","46","35","0.053","0.028","0.5","0.007"
"20190512","동북권","동대문구","47","32","0.058","0.032","0.6","0.005"
"20190512","동북권","성북구","62","37","0.049","0.036","0.8","0.004"
"20190512","동북권","도봉구","61","38","0.062","0.018","0.5","0.005"
"20190512","동북권","강북구","65","38","0.055","0.022","0.5","0.003"
"20190512","동북권","노원구","56","38","0.046","0.031","0.6","0.004"
"20190512","서남권","강서구","58","33","0.047","0.046","0.6","0.008"
"20190512","서남권","구로구","65","42","0.048","0.03","0.3","0.004"
"20190512","서남권","영등포구","65","45","0.035","0.036","0.5","0.005"
"20190512","서남권","동작구","51","33","0.051","0.033","0.5","0.004"
"20190512","서남권","관악구","65","41","0.051","0.037","0.5","0.003"
"20190512","서남권","금천구","47","30","0.045","0.036","0.6","0.006"
"20190512","서남권","양천구","59","33","0.037","0.043","0.6","0.006"
"20190512","동남권","강남구","46","33","0.039","0.033","0.4","0.007"
"20190512","동남권","서초구","63","43","0.05","0.035","0.4","0.004"
"20190512","동남권","송파구","53","38","0.051","0.039","0.5","0.005"
"20190512","동남권","강동구","51","35","0.042","0.035","0.6","0.005"
"20190511","도심권","중구","55","30","0.044","0.046","0.6","0.005"
"20190511","도심권","종로구","55","29","0.036","0.048","0.7","0.005"
"20190511","도심권","용산구","54","36","0.033","0.056","0.6","0.005"
"20190511","서북권","은평구","72","36","0.046","0.033","0.5","0.005"
"20190511","서북권","서대문구","75","40","0.04","0.036","0.9","0.005"
"20190511","서북권","마포구","81","45","0.03","0.036","0.5","0.004"
"20190511","동북권","광진구","73","43","0.027","0.05","0.9","0.005"
"20190511","동북권","성동구","72","40","0.033","0.063","0.6","0.005"
"20190511","동북권","중랑구","54","35","0.038","0.037","0.5","0.008"
"20190511","동북권","동대문구","55","32","0.041","0.045","0.6","0.005"
"20190511","동북권","성북구","75","37","0.034","0.048","0.8","0.004"
"20190511","동북권","도봉구","71","37","0.05","0.025","0.6","0.005"
"20190511","동북권","강북구","66","34","0.046","0.027","0.6","0.003"
"20190511","동북권","노원구","61","35","0.037","0.041","0.6","0.004"
"20190511","서남권","강서구","69","34","0.034","0.051","0.6","0.009"
"20190511","서남권","구로구","76","49","0.028","0.04","0.4","0.004"
"20190511","서남권","영등포구","81","50","0.021","0.044","0.5","0.005"
"20190511","서남권","동작구","57","33","0.036","0.046","0.5","0.004"
"20190511","서남권","관악구","79","44","0.031","0.051","0.5","0.003"
"20190511","서남권","금천구","53","31","0.031","0.045","0.6","0.006"
"20190511","서남권","양천구","70","36","0.027","0.05","0.6","0.007"
"20190511","동남권","강남구","55","35","0.026","0.047","0.5","0.007"
"20190511","동남권","서초구","77","47","0.031","0.049","0.4","0.004"
"20190511","동남권","송파구","68","41","0.029","0.06","0.6","0.005"
"20190511","동남권","강동구","61","36","0.028","0.054","0.6","0.005"
"20190510","도심권","중구","54","28","0.048","0.04","0.5","0.004"
"20190510","도심권","종로구","52","27","0.038","0.042","0.6","0.005"
"20190510","도심권","용산구","47","31","0.037","0.048","0.5","0.004"
"20190510","서북권","은평구","74","40","0.047","0.03","0.5","0.005"
"20190510","서북권","서대문구","75","41","0.042","0.032","0.9","0.005"
"20190510","서북권","마포구","76","46","0.039","0.028","0.5","0.004"
"20190510","동북권","광진구","61","37","0.035","0.038","0.7","0.004"
"20190510","동북권","성동구","64","36","0.046","0.044","0.5","0.004"
"20190510","동북권","중랑구","48","30","0.04","0.032","0.5","0.007"
"20190510","동북권","동대문구","44","23","0.034","0.04","0.5","0.005"
"20190510","동북권","성북구","70","34","0.035","0.044","0.7","0.004"
"20190510","동북권","도봉구","65","35","0.054","0.021","0.5","0.005"
"20190510","동북권","강북구","61","29","0.048","0.024","0.5","0.003"
"20190510","동북권","노원구","55","31","0.037","0.036","0.5","0.005"
"20190510","서남권","강서구","61","31","0.047","0.039","0.5","0.008"
"20190510","서남권","구로구","73","47","0.043","0.031","0.3","0.004"
"20190510","서남권","영등포구","75","51","0.03","0.034","0.4","0.005"
"20190510","서남권","동작구","56","32","0.04","0.042","0.5","0.004"
"20190510","서남권","관악구","80","44","0.042","0.042","0.4","0.003"
"20190510","서남권","금천구","51","28","0.033","0.045","0.5","0.005"
